4480	10	9	25
4489	10	9	26
4500	10	9	27
4514	10	9	28
4526	10	9	29
4539	10	10	1
4555	10	10	2
4570	10	10	3
4578	10	10	4
4587	10	10	5
4602	10	10	6
4612	10	10	7
4630	10	10	8
4643	10	10	9
4660	10	10	10
4674	10	10	11
4691	10	10	12
4704	10	10	13
4718	10	10	14
4732	10	10	15
4741	10	10	16
4753	10	10	17
4765	10	10	18
4783	10	10	19
4804	10	10	20
4815	10	10	21
4829	10	10	22
4840	10	10	23
4850	10	10	24
4860	10	10	25
4880	10	10	26
4894	10	10	27
4903	10	10	28
4912	10	10	29
4925	10	10	30
4935	10	10	31
4946	10	10	32
4966	10	11	1
4976	10	11	2
4991	10	11	3
5018	10	11	4
5042	10	11	5
5059	10	11	6
5085	10	11	7
5097	10	11	8
5114	10	11	9
5137	10	11	10
5152	10	11	11
5167	10	11	12
5178	10	11	13
5196	10	11	14
5205	10	11	15
5223	10	11	16
5234	10	11	17
5252	10	11	18
5261	10	11	19
5278	10	11	20
5289	10	11	21
5306	10	11	22
5315	10	11	23
5329	10	11	24
5340	10	11	25
5358	10	11	26
5372	10	11	27
5390	10	11	28
5403	10	11	29
5426	10	11	30
5433	10	11	31
5470	10	11	32
5484	10	12	1
5505	10	12	2
5518	10	12	3
5531	10	12	4
5555	10	12	5
5590	10	12	6
5609	10	12	7
5633	10	12	8
5665	10	12	9
5673	10	12	10
5693	10	12	11
5714	10	12	12
5731	10	12	13
5745	10	12	14
5762	10	12	15
5778	10	12	16
5800	10	12	17
5815	10	12	18
5833	10	12	19
5850	10	12	20
5866	10	13	1
5883	10	13	2
5897	10	13	3
5922	10	13	4
5939	10	13	5
5953	10	13	6
5972	10	13	7
5995	10	13	8
6017	10	13	9
6039	10	13	10
6071	10	13	11
6091	10	13	12
6107	10	13	13
6116	10	13	14
6144	10	13	15
6159	10	13	16
6180	10	13	17
6193	10	13	18
6212	10	14	1
6229	10	14	2
6252	10	14	3
6263	10	14	4
6274	10	14	5
6305	10	14	6
6318	10	14	7
6342	10	14	8
6368	10	14	9
6389	10	14	10
6410	10	14	11
6424	10	14	12
6441	10	14	13
6469	10	14	14
6490	10	14	15
6508	10	14	16
6531	10	14	17
6556	10	14	18
6570	10	14	19
6583	10	14	20
6598	10	14	21
6613	10	14	22
6629	10	14	23
6650	10	14	24
6670	10	15	1
6694	10	15	2
6713	10	15	3
6727	10	15	4
6745	10	15	5
6771	10	15	6
6779	10	15	7
6799	10	15	8
6808	10	15	9
6825	10	15	10
6850	10	15	11
6861	10	15	12
6879	10	15	13
6901	10	15	14
6917	10	15	15
6928	10	15	16
6941	10	15	17
6963	10	15	18
6993	10	15	19
7004	10	15	20
7016	10	15	21
7032	10	16	1
7046	10	16	2
7070	10	16	3
7099	10	16	4
7114	10	16	5
7139	10	16	6
7161	10	16	7
7178	10	16	8
7198	10	16	9
7210	10	16	10
7224	10	16	11
7243	10	16	12
7262	10	16	13
7280	10	16	14
7294	10	16	15
7309	10	16	16
7324	10	17	1
7350	10	17	2
7362	10	17	3
7373	10	17	4
7383	10	17	5
7399	10	17	6
7413	10	17	7
7438	10	17	8
7460	10	17	9
7476	10	17	10
7491	10	17	11
7504	10	17	12
7528	10	17	13
7543	10	17	14
7563	10	17	15
7578	10	17	16
7597	10	17	17
7622	10	17	18
7633	10	17	19
7658	10	17	20
7683	10	17	21
7703	10	17	22
7714	10	17	23
7752	10	17	24
7763	10	17	25
7775	10	17	26
7786	10	17	27
7801	10	18	1
7818	10	18	2
7842	10	18	3
7857	10	18	4
7869	10	18	5
7891	10	18	6
7909	10	18	7
7932	10	18	8
7956	10	18	9
7968	10	18	10
7992	10	18	11
8010	10	18	12
8025	10	18	13
8043	10	18	14
8061	10	18	15
8075	10	18	16
8092	10	18	17
8103	10	18	18
8119	10	18	19
8148	10	18	20
8162	10	18	21
8178	10	18	22
8194	10	18	23
8205	10	18	24
8229	10	18	25
8261	10	18	26
8282	10	18	27
8299	10	18	28
8323	10	18	29
8343	10	18	30
8364	10	18	31
8385	10	18	32
8409	10	18	33
8424	10	19	1
8450	10	19	2
8479	10	19	3
8499	10	19	4
8521	10	19	5
8541	10	19	6
8552	10	19	7
8558	10	19	8
8595	10	19	9
8627	10	19	10
8645	10	19	11
8668	10	19	12
8694	10	19	13
8713	10	19	14
8744	10	19	15
8773	10	19	16
8803	10	19	17
8830	10	19	18
8837	10	19	19
8868	10	19	20
8891	10	19	21
8911	10	19	22
8930	10	19	23
8940	10	19	24
8957	10	19	25
8979	10	19	26
8988	10	19	27
9003	10	19	28
9029	10	19	29
9060	10	19	30
9089	10	19	31
9112	10	19	32
9125	10	19	33
9150	10	19	34
9180	10	19	35
9206	10	19	36
9213	10	19	37
9228	10	19	38
9246	10	20	1
9265	10	20	2
9282	10	20	3
9305	10	20	4
9318	10	20	5
9341	10	20	6
9372	10	20	7
9399	10	20	8
9425	10	20	9
9454	10	20	10
9468	10	20	11
9487	10	20	12
9503	10	20	13
9532	10	20	14
9552	10	20	15
9565	10	20	16
9589	10	20	17
9607	10	20	18
9622	10	21	1
9638	10	21	2
9655	10	21	3
9669	10	21	4
9683	10	21	5
9694	10	21	6
9706	10	21	7
9720	10	21	8
9736	10	21	9
9749	10	21	10
9773	10	21	11
9784	10	21	12
9813	10	21	13
9825	10	21	14
9858	10	21	15
9874	10	21	16
9903	10	21	17
9938	10	21	18
9953	10	21	19
9975	10	21	20
9992	10	21	21
10005	10	21	22
10030	10	21	23
10061	10	21	24
10066	10	21	25
10080	10	21	26
10106	10	21	27
10120	10	21	28
10130	10	21	29
10145	10	21	30
10167	10	21	31
10181	10	21	32
10199	10	21	33
10213	10	21	34
10221	10	22	1
10241	10	22	2
10272	10	22	3
10308	10	22	4
10325	10	22	5
10349	10	22	6
10376	10	22	7
10403	10	22	8
10418	10	22	9
10456	10	22	10
10470	10	22	11
10485	10	22	12
10513	10	22	13
10544	10	22	14
10562	10	22	15
10572	10	22	16
10594	10	22	17
10621	10	22	18
10634	10	22	19
10653	10	22	20
10675	10	22	21
10687	10	22	22
10702	10	22	23
10715	10	22	24
10735	10	23	1
10750	10	23	2
10770	10	23	3
10784	10	23	4
10800	10	23	5
10809	10	23	6
10832	10	23	7
10844	10	23	8
10868	10	23	9
10891	10	23	10
10916	10	23	11
10938	10	23	12
10946	10	23	13
10973	10	23	14
10981	10	23	15
10997	10	23	16
11024	10	23	17
11056	10	23	18
11069	10	23	19
11090	10	23	20
11108	10	24	1
11123	10	24	2
11141	10	24	3
11167	10	24	4
11181	10	24	5
11211	10	24	6
11222	10	24	7
11265	10	24	8
11285	10	24	9
11303	10	24	10
11329	10	24	11
11350	10	24	12
11368	10	24	13
11384	10	24	14
11417	10	24	15
11442	10	24	16
11462	10	24	17
11476	10	24	18
11489	10	24	19
11504	10	24	20
11525	10	24	21
11539	10	24	22
11564	10	24	23
11580	10	24	24
11592	10	24	25
11605	10	24	26
11613	10	24	27
11638	10	24	28
11652	10	24	29
11670	10	24	30
11712	10	24	31
11732	10	24	32
11761	10	24	33
11778	10	24	34
11783	10	24	35
11809	10	24	36
11826	10	24	37
11845	10	24	38
11859	10	24	39
11869	10	24	40
11894	10	24	41
11912	10	24	42
11934	10	24	43
11958	10	24	44
11978	10	24	45
12004	10	24	46
12025	10	24	47
12054	10	24	48
12080	10	24	49
12104	10	24	50
12123	10	24	51
12140	10	24	52
12154	10	24	53
12177	10	24	54
12199	10	24	55
12213	10	24	56
12228	10	24	57
12238	10	24	58
12255	10	24	59
12270	10	24	60
