CA173	6	******
CA174	7	*******
CA175	9	*********
CA176	11	***********
CA177	12	************
CA178	10	**********
CA179	11	***********
CA180	8	********
CA181	9	*********
CA182	10	**********
CA183	8	********
CA184	10	**********
CA185	11	***********
CA186	9	*********
CA187	10	**********
CA188	2	**
CA189	3	***
CA190	4	****
CA191	5	*****
CA192	2	**
CA193	3	***
CA194	4	****
CA195	5	*****
CA196	6	******
CA197	7	*******
CA198	9	*********
CA199	8	********
CA200	2	**
CA201	3	***
CA202	5	*****
CA203	4	****
CA204	2	**
CA205	3	***
CA206	7	*******
CA207	8	********
CA208	6	******
CA209	8	********
CA210	7	*******
CA211	5	*****
CA212	4	****
CA213	2	**
CA214	4	****
CA215	3	***
CA216	3	***
CA217	2	**
CA218	5	*****
CA219	4	****
CA220	3	***
CA221	5	*****
CA222	7	*******
CA223	8	********
CA224	9	*********
CA225	6	******
CA226	7	*******
CA227	8	********
CA228	4	****
CA229	5	*****
CA230	0	
CA231	2	**
CA232	1	*
CA233	2	**
CA234	3	***
CA235	1	*
CA236	2	**
CA237	3	***
CA238	6	******
CA239	5	*****
CA240	4	****
CA241	6	******
CA242	5	*****
CA243	1	*
CA244	2	**
CA245	3	***
CA246	4	****
CA247	6	******
CA248	5	*****
CA249	6	******
CA250	7	*******
CA251	1	*
CA252	3	***
CA253	5	*****
CA254	4	****
CA255	5	*****
CA256	2	**
CA257	2	**
CA258	2	**
CA259	3	***
CA260	1	*
CA261	2	**
CA262	3	***
CA263	2	**
CA264	2	**
CA265	2	**
CA266	4	****
CA267	3	***
CA268	3	***
CA269	4	****
CA270	5	*****
CA271	4	****
CA272	5	*****
CA273	6	******
CA274	7	*******
CA275	6	******
CA276	4	****
CA277	5	*****
CA278	7	*******
CA279	6	******
CA280	8	********
CA281	9	*********
CA282	7	*******
CA283	3	***
CA284	4	****
CA285	6	******
CA286	5	*****
CA287	6	******
CA288	3	***
CA289	4	****
CA290	3	***
CA291	4	****
CA292	5	*****
CA293	3	***
CA294	5	*****
CA295	6	******
CA296	7	*******
CA297	8	********
CA298	9	*********
CA299	10	**********
CA300	11	***********
CA301	4	****
CA302	6	******
CA303	7	*******
CA304	8	********
CA305	9	*********
CA306	5	*****
CA307	7	*******
CA308	9	*********
CA309	10	**********
CA310	11	***********
CA311	12	************
CA312	8	********
CA313	9	*********
CA314	12	************
CA315	11	***********
CA316	10	**********
CA317	12	************
CA318	11	***********
CA319	12	************
CA320	13	*************
CA321	6	******
CA322	7	*******
CA323	3	***
CA324	4	****
CA325	1	*
CA326	2	**
CA327	4	****
CA328	3	***
CA329	4	****
CA330	5	*****
CA331	5	*****
CA332	5	*****
CA333	1	*
CA334	3	***
CA335	4	****
CA336	2	**
CA337	2	**
CA338	4	****
CA339	3	***
CA340	0	
CA341	2	**
CA342	2	**
CA343	2	**
CA344	3	***
CA345	2	**
CA346	4	****
CA347	3	***
CA348	4	****
CA349	3	***
CA350	4	****
CA351	5	*****
CA352	4	****
CA353	5	*****
CA354	7	*******
CA355	7	*******
CA356	6	******
CA357	8	********
CA358	10	**********
CA359	9	*********
CA360	12	************
CA361	11	***********
CA362	10	**********
CA363	11	***********
CA364	12	************
CA365	13	*************
CA366	7	*******
CA367	8	********
CA368	10	**********
CA369	9	*********
CA370	10	**********
CA371	6	******
CA372	8	********
CA373	7	*******
CA374	8	********
CA375	9	*********
CA376	7	*******
CA377	8	********
CA378	10	**********
CA379	9	*********
CA380	10	**********
CA381	13	*************
CA382	14	**************
CA383	12	************
CA384	13	*************
CA385	14	**************
CA386	11	***********
CA387	6	******
CA388	7	*******
CA389	9	*********
CA390	8	********
CA391	10	**********
CA392	11	***********
CA393	9	*********
CA394	10	**********
CA395	12	************
CA396	11	***********
CA397	6	******
CA398	7	*******
CA399	8	********
CA400	6	******
CA401	7	*******
CA402	6	******
CA403	7	*******
CA404	1	*
CA405	3	***
CA406	3	***
CA407	2	**
